track_name,artists,track_id,track_genre
Storytelling,Belle and Sebastian,4HALCNYR8svtbyKIPqgdUu,rock
Najemnik I (Live),Dzem,3UVjK758d5NqOWs2mDbNCO,rock
Сила одного,Tarakany!,7nhME2Arz5xOPsRw9BBp7V,rock
The Messenger,The Savage Rose,3EKeXen6beEX18w3Kko0W0,rock
Beach Life-In-Death,Car Seat Headrest,2JSjGP67nB6qnoACJ5g9EY,rock
Some Girls - Acoustic,Jameson Rodgers,6C2d77cnFFiVPUTsjbJ5t2,rock
Fade Away,The Moth,74eHDD3nF72XYfb7KVsi2g,rock
Fallin' for You for Years,Conway Twitty,3ousUKkLR8hvvIJbBWy75G,rock
Xero Giati,Mple,21mHSIxK8xAgN0DXIjig2d,rock
Substitute,Gregory Isaacs,6YxtOFseZSegWCZkgA4jsn,rock
One Way Ticket,George Thorogood & The Destroyers,1HhLmyquNKYjm60TqfaZGa,rock
Baldy,Mozes and the Firstborn,0NQFhEi5XO9jUsYEbJyJpI,rock
Femme Fatale,Ty Segall,2pnnXFYrVqkub3JHMfg2Ir,rock
Under the Lamb,The Dudley Corporation,4u5vRAqFZgLZ67fbBeGmoK,rock
Leo - Live,Flux Capacitor,15TbSaHyLlNuktFNbrL8rO,rock
Consequences,Inward Oceans,3DvdQWiEb3ZT6kzroB2YOh,rock
Push It,Static-X,5HT8bfX2wbEmP2PAvG9LMS,rock
Arvoitus,Pave Maijanen,0NHRMbdmS95GHtuQdiMzLU,rock
Tomorrow Morning,Isaac Alexander,6Jw13qauM2TFNj8MRp50DS,rock
Funky Friday,Felix Cavaliere,4bFyMgCBwXyia2aKQ6DM1r,rock
Shout to the North,Delirious?,57pEnFQ56ldmibjBe3SMjc,rock
I Want It,Bai Bang,54euWXYC5wd4HDabQbsiZo,rock
Longa Caminhada,Uniclãs,7Gig9xQTWdbXlilYYFwxGo,rock
It's Tuesday Night And I Just Broke A Table (Month To Month),Secret Secret Dino Club,2l4paNuV7MjGyazvrnLffy,rock
Sé Mujer,El Haragán y Compañía,1WvN6mc9f4KqsVx6CzqpM2,rock
No Time on You,The Rhythm Shakers,0mivbO0Cqzp32omjVGGRYp,rock
Skorpion med 1 miljon,Conny Bloom,0mZ6w2hool9iZdBqYRUE7I,rock
Belle of the Boulevard - Re-Record,Dashboard Confessional,2tUmkZYgKoCj7EMq8iRRER,rock
Tamo Pokraj Mora,Doris Dragović,368FtET0Ir0gJqLcJGtF3e,rock
Танцюю - Ingvarr Maro Remix,Схожа,5xVEi1SAdRVKzMnNYKJpO2,rock
920LONDON (Live at ELECTROPUNKz 2023),Ada Rook,5tnmuZzUSfEHGWaEMpVKAd,rock
Miller,Chiki Liki Tu-a,1M41gkJpmNChJie3zTG8x3,rock
The Butcher - Recipe Morado Remix,Metrozubdivision,7G37u3k2RHU79iSdsY7zc0,rock
Drinkin' My Baby (Off My Mind) - Remastered 2008,Eddie Rabbitt,6G6F4ABBHQatwo33H3xJBG,rock
In A Manner Of Speaking,Tuxedomoon,5ZPexa89R3x9xtkLWdegXP,rock
Como te extraño mi amor,Café Tacvba,39k5kRr8eCCcnber2Zw2mw,rock
Bat You'll Fly - Remastered 2023,Animal Collective,3Bnt1dZlT3zFCmzclXQtxW,rock
Rags - 2002 Remaster,The Waterboys,4q3PqN3eZ8pKgVhraFrHDm,rock
Summer Is a Curse,The Faim,0QhZm4n9bYNMeFOuChKZ7b,rock
Addicted to Love - Uzivo,Disciplin A Kitschme,0QSmaWTSJOgX8LxoDgGzd4,rock
Seasons End - 1997 Remaster,Marillion,6Q9ztVnQAZJJgNIgRGMjg8,rock
Surfin',Credo,1wsRFQn8VMMq5rphAnrqxT,rock
Toc De Plor,Lax'n'Busto,1uF0HP7x85r41uWkywaTqz,rock
Beyond Reality,Fatal Smile,1INjdVNFUg8VQ0FHlYwoyU,rock
47 Ways to Die,Lillian Axe,1HfA05Ei20p8TocZO0RKir,rock
Apes of God,Sepultura,7vDRcULZq644L9TjrSEzRd,rock
Sange Saboor,Mohsen Chavoshi,3oGmKCSPBS7nPA5Jiz9o97,rock
Pillar Of Davidson,Live,0KiEGRpu6ugyEivgry3HLE,rock
